Date, Open, High, Low, Close, Volume
11/29/2019,10.45,10.45,10.4,10.45,700
11/19/2019,10.4,10.4,10.4,10.4,100
11/14/2019,11.5,12,11.4,11.5,1300
11/12/2019,12.5,12.5,12.5,12.5,500
11/8/2019,12.5,12.5,12.5,12.5,1900
11/4/2019,12.5,12.5,12.5,12.5,3100
10/31/2019,12.5,12.5,12.5,12.5,4800
10/24/2019,12.5,12.5,12.5,12.5,200
10/18/2019,12.2,12.45,11.35,12.2,800
10/8/2019,11.35,11.5,11.3,11.35,1300
10/7/2019,11.3,11.3,11.3,11.3,300
10/4/2019,12.5,12.5,12.5,12.5,100
10/2/2019,13.85,14,12.6,13.85,1300
10/1/2019,13.95,14,13.95,13.95,700
9/27/2019,14,14,14,14,100
9/26/2019,14,14,14,14,800
9/25/2019,14,14,14,14,300
9/24/2019,13.75,13.75,13.75,13.75,500
9/23/2019,13.6,13.6,13.6,13.6,100
9/20/2019,13.55,13.6,13.5,13.55,500
9/19/2019,13.65,13.75,13.4,13.65,1900
9/18/2019,12.5,12.5,12.5,12.5,500
9/17/2019,12,12,12,12,12700
9/13/2019,11.35,11.4,11.3,11.35,600
9/12/2019,11.4,11.4,11.4,11.4,100
9/10/2019,11.4,11.4,11.4,11.4,300
9/9/2019,12.6,12.6,12.6,12.6,100
9/6/2019,12.6,12.6,12.6,12.6,1800
9/5/2019,12.5,12.5,12.5,12.5,100
9/4/2019,12.4,12.4,12.4,12.4,100
9/3/2019,12.45,12.5,12.4,12.45,300
8/30/2019,12.5,12.5,12.5,12.5,100
8/20/2019,12.7,12.75,12.7,12.7,2900
8/19/2019,13.55,14,12.75,13.55,300
8/13/2019,14,14,14,14,200
8/9/2019,13.5,13.5,13.5,13.5,5000
8/7/2019,13.5,13.5,13.5,13.5,100
8/1/2019,13.5,13.5,13.5,13.5,200
7/30/2019,13.4,13.5,13.3,13.4,300
7/29/2019,13.3,13.3,13.3,13.3,100
7/23/2019,13.3,13.5,13,13.3,5500
7/16/2019,13.95,13.95,13.95,13.95,100
7/15/2019,13.2,13.2,13.2,13.2,200
7/11/2019,13.1,13.1,13.1,13.1,100
7/8/2019,13,13,13,13,2000
7/5/2019,13,13,13,13,100
7/4/2019,13,13,13,13,100
7/3/2019,12,12,12,12,6800
6/28/2019,12,12,12,12,200
6/21/2019,11.95,12,11.95,11.95,900
6/20/2019,12,12,12,12,200
6/18/2019,12,12,12,12,300
6/17/2019,12,12,12,12,400
6/13/2019,12,12,12,12,200
6/12/2019,12,12,12,12,2000
6/11/2019,12,12,12,12,1800
5/31/2019,12,12,12,12,2000
5/30/2019,11,11,11,11,3900
5/29/2019,11,11,11,11,100
5/28/2019,11,11,11,11,1000
5/27/2019,10.4,11,10,10.4,7400
5/24/2019,11,11,11,11,1300
5/23/2019,11.3,11.3,11.3,11.3,1000
5/17/2019,11.3,11.3,11.3,11.3,1000
5/14/2019,12.5,12.5,12.5,12.5,7800
5/13/2019,12.75,12.75,12.75,12.75,2000
5/8/2019,13,13,13,13,200
5/7/2019,12.5,12.5,12.5,12.5,1800
5/3/2019,12.5,12.5,12.5,12.5,2000
5/2/2019,12.5,12.5,12.5,12.5,3000
4/30/2019,13.75,13.75,13.75,13.75,1000
4/26/2019,13.75,13.75,13.75,13.75,700
4/25/2019,12.5,12.5,12.5,12.5,1700
4/24/2019,12.5,12.5,12.5,12.5,300
4/18/2019,13,13,13,13,4000
4/17/2019,14,14,14,14,100
4/11/2019,14,14,14,14,100
4/9/2019,13.6,13.6,13.6,13.6,4000
4/5/2019,13.6,13.6,13.6,13.6,2000
4/4/2019,14.3,14.3,14.3,14.3,100
3/27/2019,14.3,14.3,14.3,14.3,100
3/22/2019,14.3,14.5,14,14.3,5100
3/21/2019,14.95,15,14.9,14.95,2500
3/19/2019,15,15,15,15,400
3/15/2019,15.9,15.9,15.9,15.9,200
3/11/2019,15,15,15,15,5000
3/1/2019,15.9,15.9,15.9,15.9,100
2/25/2019,15.9,15.9,15.9,15.9,200
2/22/2019,15.9,15.9,15.9,15.9,100
2/21/2019,15.9,15.95,15.85,15.9,200
2/20/2019,15.95,16,15.85,15.95,1100
2/19/2019,16,16,16,16,1000
2/18/2019,16,16,16,16,600
2/15/2019,16,16,16,16,300
2/13/2019,16,16,16,16,500
2/12/2019,16,16,16,16,300
2/11/2019,16,16,16,16,1000
2/8/2019,16,16,16,16,1000
2/7/2019,16,16,16,16,100
2/4/2019,17.3,17.3,17.3,17.3,100
1/31/2019,17.6,17.6,17.6,17.6,100
1/29/2019,16,16,16,16,100
1/18/2019,16,16,16,16,600
1/16/2019,16,16,16,16,800
1/15/2019,15.1,15.1,15.1,15.1,100
1/14/2019,15.3,15.3,15.3,15.3,300
1/11/2019,15.05,15.4,14,15.05,6500
1/7/2019,14,14,14,14,100
1/4/2019,14.5,14.5,14.5,14.5,1700
12/10/2018,14.5,14.5,14.5,14.5,2200
12/7/2018,14.5,15,14.5,14.5,1900
