Date, Open, High, Low, Close, Volume,Company
05/10/2022,12,12,12,12,100,EGAD
05/06/2022,11.5,11.5,11.5,11.5,100,EGAD
05/05/2022,11.4,11.4,11.4,11.4,1000,EGAD
05/04/2022,11.45,11.45,11.45,11.45,100,EGAD
04/06/2022,12.65,12.65,12.65,12.65,100,EGAD
03/30/2022,13,13,12.6,12.65,1200,EGAD
03/18/2022,13.5,13.5,12.65,12.95,300,EGAD
03/17/2022,12.65,12.65,12.6,12.6,700,EGAD
03/16/2022,13.5,13.5,13.5,13.5,100,EGAD
03/14/2022,12.6,12.6,12.6,12.6,500,EGAD
03/01/2022,13.5,13.5,13.5,13.5,100,EGAD
02/28/2022,12.35,12.35,12.35,12.35,100,EGAD
02/24/2022,12.35,12.35,12.35,12.35,100,EGAD
02/23/2022,13.5,13.5,13.5,13.5,100,EGAD
02/17/2022,13.15,13.15,13.1,13.1,3000,EGAD
02/16/2022,13.1,13.1,13.1,13.1,4500,EGAD
02/15/2022,13,13,13,13,300,EGAD
02/09/2022,13.15,13.15,13.1,13.1,1000,EGAD
02/08/2022,13.5,13.5,13.5,13.5,100,EGAD
02/07/2022,13.5,13.5,13.5,13.5,1500,EGAD
02/04/2022,13.5,13.5,13.5,13.5,100,EGAD
02/02/2022,13.5,13.5,13.5,13.5,6100,EGAD
02/01/2022,13.5,13.5,13.5,13.5,3400,EGAD
01/31/2022,13.1,13.1,13.1,13.1,8000,EGAD
01/28/2022,13.15,13.4,13.15,13.15,5100,EGAD
01/27/2022,13.05,13.05,13.05,13.05,2400,EGAD
01/26/2022,13.05,13.05,13.05,13.05,100,EGAD
01/25/2022,13.8,13.8,13.8,13.8,1000,EGAD
01/20/2022,13.8,13.8,13.8,13.8,1000,EGAD
01/18/2022,13,13.9,13,13.9,9100,EGAD
01/14/2022,13.8,13.8,13.8,13.8,500,EGAD
01/12/2022,12.9,12.9,12.9,12.9,200,EGAD
01/06/2022,13.8,13.8,13.8,13.8,100,EGAD
01/04/2022,12.85,12.85,12.85,12.85,600,EGAD
01/03/2022,13.8,13.8,13.5,13.5,4000,EGAD
12/28/2021,13.5,13.5,13.5,13.5,100,EGAD
12/23/2021,13.8,13.8,13.8,13.8,500,EGAD
